,Year,Month,Current_U,Current_V
222,2011,7,-0.0015420895,0.0065998714
223,2011,8,-0.0014035273,0.001498038
224,2011,9,-0.0035522943,0.0011142436
225,2011,10,0.0036103185,0.001270121
226,2011,11,0.0009274483,0.0034388779
227,2011,12,-0.0002509905,-0.0009603044
228,2012,1,-0.0034313109,-0.00031137373
229,2012,2,-0.0019522347,-0.005133859
230,2012,3,-0.0022230856,-0.0047196588
231,2012,4,-0.0030992022,0.0013620658
232,2012,5,-0.002627519,0.00044596568
233,2012,6,-0.0041370643,0.0031827036
234,2012,7,-0.0019165576,0.00093000755
235,2012,8,-0.0029498208,0.004730772
236,2012,9,-0.0035775602,0.005263258
237,2012,10,-0.002719786,0.006953343
238,2012,11,-0.0017935168,0.0046432633
239,2012,12,0.0008033216,0.003502592
240,2013,1,0.001389225,0.0004472686
241,2013,2,0.0044825487,-0.0046103187
242,2013,3,-0.0005862098,-0.0046152333
243,2013,4,-0.0013579708,-0.00039727986
244,2013,5,0.0007132478,-0.0028163139
245,2013,6,0.0022062082,-0.0048833042
246,2013,7,-0.00031206012,-0.0007464681
247,2013,8,-0.0022725193,-0.00041178614
248,2013,9,-0.00023551658,0.0035130717
249,2013,10,0.0015844386,0.0014006048
250,2013,11,0.0014196672,-0.0008434113
251,2013,12,0.0019202307,-0.0049486123
252,2014,1,0.0011757975,-0.0033199834
253,2014,2,-0.00027639605,-0.00538172
254,2014,3,-0.0018785279,-0.0024381205
255,2014,4,0.00072357245,0.0033830637
256,2014,5,0.00074921176,0.0044698855
257,2014,6,0.0044287983,-0.0019705761
258,2014,7,0.0013857577,2.993457e-05
259,2014,8,3.942661e-05,-0.0062389933
260,2014,9,-0.0030615414,-0.000379676
261,2014,10,-0.0006502345,0.007962933
262,2014,11,-0.0005355403,0.004227478
263,2014,12,-0.0044642044,0.005147838
264,2015,1,-0.0010595275,0.0020112
265,2015,2,-0.0010820162,-0.0011636596
266,2015,3,0.0013113301,-0.0048213443
267,2015,4,-0.0023838477,-0.0056300443
268,2015,5,-0.0037501277,-0.008267352
269,2015,6,-0.0032344274,-0.008158768
270,2015,7,-0.004830759,-0.0014183726
271,2015,8,-0.0023362655,-0.005860297
272,2015,9,-0.0018403735,0.0020824093
273,2015,10,-0.0023482498,0.0051678102
274,2015,11,-0.0022094324,-0.00041285902
275,2015,12,-0.0011028387,0.0077603366
276,2016,1,0.0032179458,0.0014541177
277,2016,2,0.004104102,0.00053793564
278,2016,3,3.49693e-05,0.0012878822
279,2016,4,0.005329225,-0.0050925408
280,2016,5,0.003802631,-0.008036982
281,2016,6,0.000724053,-0.0062898453
282,2016,7,0.0030032806,-0.007845223
283,2016,8,0.0051311255,-0.0066143926
284,2016,9,0.004746681,-0.005037969
285,2016,10,0.0038524177,-0.0050535463
286,2016,11,0.002097195,0.002857957
287,2016,12,0.0046159644,-0.005653456
288,2017,1,0.0057607694,0.000811954
289,2017,2,0.0019393079,0.005921493
290,2017,3,-0.0022730464,0.007845338
291,2017,4,-0.0013125669,0.0075698514
292,2017,5,-0.0007882137,0.006029754
293,2017,6,0.00081767887,0.010855082
294,2017,7,0.0029165614,0.0035421196
295,2017,8,0.0054696742,-3.822334e-05
296,2017,9,0.0044273473,0.00263118
297,2017,10,0.0017303787,0.0006159637
298,2017,11,0.0010660924,0.0023382902
299,2017,12,-0.00071122777,-0.00076296274
300,2018,1,-0.0014870865,-0.00015744753
301,2018,2,-0.00095988344,-0.0026935823
302,2018,3,-0.00043567084,0.0018160306
303,2018,4,0.002300473,-0.0010956321
304,2018,5,-8.0617145e-05,0.0006412715
305,2018,6,-0.0019264426,0.0011275914
306,2018,7,-0.0014853086,0.003833035
307,2018,8,-0.0026037777,0.0030502528
308,2018,9,-0.0008340385,-0.0005410593
309,2018,10,-0.004192423,0.00063174963
310,2018,11,-0.0026442418,0.002365224
311,2018,12,-3.501773e-07,0.0039185546
312,2019,1,0.0004609814,-0.00027306005
