,Year,Month,SLA
116,2006,9,-0.014773633
117,2006,10,-0.020833276
118,2006,11,-0.013123434
119,2006,12,-0.004801046
120,2007,1,-0.007230941
121,2007,2,-0.013583325
122,2007,3,-0.012057675
123,2007,4,-0.0064382963
124,2007,5,-0.00585907
125,2007,6,-0.0130784735
126,2007,7,-0.0061378367
127,2007,8,-0.013911262
128,2007,9,-0.016184535
129,2007,10,-0.02976735
130,2007,11,-0.020543098
131,2007,12,-0.025388911
132,2008,1,-0.030470645
133,2008,2,-0.032618556
134,2008,3,-0.02892268
135,2008,4,-0.028169986
136,2008,5,-0.025407441
137,2008,6,-0.026937464
138,2008,7,-0.020660995
139,2008,8,-0.016074743
140,2008,9,-0.02473133
141,2008,10,-0.020027012
142,2008,11,-0.011611398
143,2008,12,-0.013604742
144,2009,1,-0.024562273
145,2009,2,-0.028119214
146,2009,3,-0.018431388
147,2009,4,-0.01604572
148,2009,5,-0.014692897
149,2009,6,-0.010705393
150,2009,7,-0.00779726
151,2009,8,-0.0029493794
152,2009,9,0.002075173
153,2009,10,-0.0023115948
154,2009,11,-0.00078255683
155,2009,12,0.004770525
156,2010,1,0.010106411
157,2010,2,0.019989017
158,2010,3,0.019266263
159,2010,4,0.020115092
160,2010,5,0.006531668
161,2010,6,0.0032435171
162,2010,7,-0.00035167113
163,2010,8,-0.014254119
164,2010,9,-0.0214524
165,2010,10,-0.0077020265
166,2010,11,-0.012440696
167,2010,12,-0.022970805
168,2011,1,-0.019151192
169,2011,2,-0.020185981
170,2011,3,-0.019829938
171,2011,4,-0.024681028
172,2011,5,-0.02318546
173,2011,6,-0.019924536
174,2011,7,-0.01961808
175,2011,8,-0.0222034
176,2011,9,-0.018007338
177,2011,10,-0.021003049
178,2011,11,-0.026619527
179,2011,12,-0.029702803
180,2012,1,-0.01978288
181,2012,2,-0.009262579
182,2012,3,-0.015150969
183,2012,4,-0.018258648
184,2012,5,-0.01525765
185,2012,6,-0.017445061
186,2012,7,-0.021824008
187,2012,8,-0.027847394
188,2012,9,-0.017500658
189,2012,10,-0.010761585
190,2012,11,-0.005694676
191,2012,12,-0.005904544
192,2013,1,-0.010818705
193,2013,2,-0.010218677
194,2013,3,-0.014644299
195,2013,4,-0.0142949335
196,2013,5,-0.016306568
197,2013,6,-0.016750235
198,2013,7,-0.026914058
199,2013,8,-0.022283923
200,2013,9,-0.010713726
201,2013,10,-0.0123968795
202,2013,11,-0.019848153
203,2013,12,-0.018953416
204,2014,1,-0.006927289
205,2014,2,0.0031374749
206,2014,3,0.026219506
207,2014,4,0.025463298
208,2014,5,0.01849987
209,2014,6,0.023130134
210,2014,7,0.028838385
211,2014,8,0.035723377
212,2014,9,0.037511982
213,2014,10,0.04361196
214,2014,11,0.039133478
215,2014,12,0.058965713
216,2015,1,0.06765199
217,2015,2,0.07688095
218,2015,3,0.081360824
219,2015,4,0.07449591
220,2015,5,0.06522865
221,2015,6,0.06374878
222,2015,7,0.062727764
223,2015,8,0.06119926
224,2015,9,0.06942596
225,2015,10,0.07340684
226,2015,11,0.072381884
227,2015,12,0.06848686
228,2016,1,0.063347265
229,2016,2,0.08220325
230,2016,3,0.0794161
231,2016,4,0.068781294
232,2016,5,0.059537496
233,2016,6,0.058606975
234,2016,7,0.046026524
235,2016,8,0.037845362
236,2016,9,0.03666789
237,2016,10,0.03667544
238,2016,11,0.045739006
239,2016,12,0.029001318
240,2017,1,0.01733258
241,2017,2,0.008210989
242,2017,3,0.007382513
243,2017,4,0.017036635
244,2017,5,0.01124261
245,2017,6,0.009852923
246,2017,7,0.014857341
247,2017,8,0.019947048
248,2017,9,0.013535567
249,2017,10,0.0138506815
250,2017,11,0.017790373
251,2017,12,0.028327018
252,2018,1,0.025134906
253,2018,2,0.008397847
254,2018,3,0.003793626
255,2018,4,0.01875965
256,2018,5,0.021774504
257,2018,6,0.021852199
258,2018,7,0.014972176
259,2018,8,0.021945786
260,2018,9,0.017457426
261,2018,10,0.023277685
262,2018,11,0.022235636
263,2018,12,0.027382828
264,2019,1,0.036499135
