,Year,Month,Wind_U,Wind_V
191,2012,12,1.2445687,-0.22536755
192,2013,1,-0.35129,-2.0211458
193,2013,2,0.73156166,-2.4458866
194,2013,3,-0.7162428,-0.8322259
195,2013,4,-0.06366348,-1.2961273
196,2013,5,-0.1130569,0.21257186
197,2013,6,-0.25451005,0.6959033
198,2013,7,-0.2532245,-0.9437623
199,2013,8,-0.34602153,1.6351814
200,2013,9,0.5826415,1.0315084
201,2013,10,-0.728981,-1.3610997
202,2013,11,-1.0947261,-0.6478468
203,2013,12,-0.78524655,-2.583888
204,2014,1,0.2076863,-1.7135887
205,2014,2,-0.18635643,0.5088457
206,2014,3,-0.0033967495,-0.060167074
207,2014,4,-0.06893206,0.11850929
208,2014,5,-0.21158385,-0.29591942
209,2014,6,0.06064987,-1.1431899
210,2014,7,-0.41633117,0.49278593
211,2014,8,-0.526147,-0.43856382
212,2014,9,-0.3889655,0.71878076
213,2014,10,0.19005585,2.1172485
214,2014,11,-1.1508565,0.41376215
215,2014,12,-0.6975734,1.4050449
216,2015,1,-1.2914903,0.22066334
217,2015,2,-0.8152726,-0.081463695
218,2015,3,-0.79570127,-0.7044599
219,2015,4,0.1633389,-1.080275
220,2015,5,0.10329342,-1.4843159
221,2015,6,-0.2145598,-0.939415
222,2015,7,-0.34302664,0.3163004
223,2015,8,0.01576972,0.18426132
224,2015,9,-0.31242812,-0.043432236
225,2015,10,-0.33588254,0.5035856
226,2015,11,0.047026277,-2.8005967
227,2015,12,1.6862212,-0.66304934
228,2016,1,-0.2719618,2.5004604
229,2016,2,-0.58063483,1.3272142
230,2016,3,0.90897584,3.8543477
231,2016,4,-1.1211499,0.9271511
232,2016,5,0.26546884,-1.46702
233,2016,6,-0.2280451,0.5834081
234,2016,7,0.21871293,-0.88022137
235,2016,8,0.21223772,-1.5035954
236,2016,9,1.1029664,-1.5680671
237,2016,10,0.2574985,2.1792946
238,2016,11,0.6051537,1.4207137
239,2016,12,-0.013794541,-1.6447843
240,2017,1,0.092698574,0.154022
241,2017,2,0.48809075,0.391845
242,2017,3,0.6644943,0.009000301
243,2017,4,0.05731368,1.0834684
244,2017,5,0.68063855,-1.0353446
245,2017,6,0.3691888,-0.08009243
246,2017,7,-0.02390647,-0.24300098
247,2017,8,0.33700526,-0.6322923
248,2017,9,0.37808383,-0.200346
249,2017,10,0.18870449,-2.148809
250,2017,11,0.118011,1.2283186
251,2017,12,-1.7267123,-0.8978549
252,2018,1,0.11281991,0.8452986
253,2018,2,0.64307714,-4.203587
254,2018,3,-0.49858487,-0.08596945
255,2018,4,0.24392724,0.29009938
256,2018,5,0.096505165,-0.54199266
257,2018,6,0.63832617,-0.73725414
258,2018,7,-0.25660062,-0.6647291
259,2018,8,-0.24385417,-0.6133375
260,2018,9,0.08221316,-0.28998995
261,2018,10,-0.3394047,-0.44403338
262,2018,11,-0.38988996,-0.3280363
263,2018,12,0.046167254,0.05151999
264,2019,1,-0.7405929,1.1225367
265,2019,2,1.2371938,-2.325399
266,2019,3,-1.2124712,-0.028928638
267,2019,4,0.28566575,-0.7309201
268,2019,5,0.6814852,-1.0034566
269,2019,6,0.18561316,-1.0646601
270,2019,7,0.38456237,0.23042631
271,2019,8,0.032961845,0.3242321
272,2019,9,0.49775326,-0.40991163
