,Year,Month,SST
409,2016,1,0.7606888
410,2016,2,1.0805807
411,2016,3,1.1193781
412,2016,4,1.306015
413,2016,5,0.9908571
414,2016,6,0.8177433
415,2016,7,0.4692669
416,2016,8,0.011198044
417,2016,9,0.011444092
418,2016,10,0.296072
419,2016,11,0.7390785
420,2016,12,0.17066765
421,2017,1,-0.09204292
422,2017,2,-0.0041570663
423,2017,3,0.112112045
424,2017,4,0.33370876
425,2017,5,0.086512566
426,2017,6,0.19203472
427,2017,7,0.028583527
428,2017,8,0.17283249
429,2017,9,0.4363842
430,2017,10,0.16246986
431,2017,11,0.42294216
432,2017,12,0.56753826
433,2018,1,0.81968975
434,2018,2,0.4545555
435,2018,3,0.2055912
436,2018,4,0.15916157
437,2018,5,0.37684727
438,2018,6,0.25430298
439,2018,7,0.23291588
440,2018,8,0.2908287
441,2018,9,0.143116
442,2018,10,0.46191216
443,2018,11,0.8232155
444,2018,12,0.94657326
445,2019,1,0.75240326
446,2019,2,0.20119667
447,2019,3,0.07355785
448,2019,4,0.3165245
449,2019,5,0.23525047
450,2019,6,0.30910397
451,2019,7,0.707489
452,2019,8,1.1969872
